GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06037109100,Census Tract 1091; Los Angeles County; California,4.5,2.6,7.8,35.1,49.1,35435.0,45.8
06037109200,Census Tract 1092; Los Angeles County; California,4.4,0.0,2.4,11.8,33.8,46478.0,32.1
06037109300,Census Tract 1093; Los Angeles County; California,1.3,4.6,4.6,12.4,37.2,48807.0,34.5
06037109400,Census Tract 1094; Los Angeles County; California,10.1,4.0,1.8,20.3,32.8,29213.0,37.8
06037109500,Census Tract 1095; Los Angeles County; California,10.4,14.3,8.5,28.6,30.700000000000003,22933.0,46.5
06037109601,Census Tract 1096.01; Los Angeles County; California,7.1,1.9,7.8,20.799999999999997,32.2,34745.0,39.3
06037109603,Census Tract 1096.03; Los Angeles County; California,11.2,11.8,5.2,13.1,36.3,32190.0,42.3
06037109604,Census Tract 1096.04; Los Angeles County; California,5.5,7.2,4.4,17.9,36.1,33171.0,38.8
06037109700,Census Tract 1097; Los Angeles County; California,1.9,5.8,8.9,14.399999999999999,39.599999999999994,42074.0,39.6
06037109800,Census Tract 1098; Los Angeles County; California,3.3,5.6,7.2,19.9,42.3,35371.0,41.3
06037111100,Census Tract 1111; Los Angeles County; California,4.1,2.0,5.2,12.0,34.2,40157.0,35.1
06037111201,Census Tract 1112.01; Los Angeles County; California,1.2,10.4,8.9,10.1,36.5,49242.0,38.3
06037111202,Census Tract 1112.02; Los Angeles County; California,3.3,4.1,12.9,11.8,33.599999999999994,40975.0,40.1
06037111204,Census Tract 1112.04; Los Angeles County; California,0.0,1.3,4.9,6.9,42.599999999999994,64324.0,32.5
06037111205,Census Tract 1112.05; Los Angeles County; California,5.6,4.9,5.6,4.5,39.4,48493.0,36.4
06037111206,Census Tract 1112.06; Los Angeles County; California,1.1,1.0,5.1,4.1,43.599999999999994,58851.0,33.4
06037111302,Census Tract 1113.02; Los Angeles County; California,2.2,5.7,5.1,7.3,32.2,41905.0,33.9
06037111303,Census Tract 1113.03; Los Angeles County; California,2.9,4.4,11.2,14.399999999999999,37.2,34749.0,41.0
06037111304,Census Tract 1113.04; Los Angeles County; California,11.6,26.3,1.8,0.7,22.6,26171.0,38.9
06037111401,Census Tract 1114.01; Los Angeles County; California,8.6,0.0,2.1,8.0,39.4,45761.0,34.7
06037111402,Census Tract 1114.02; Los Angeles County; California,10.7,10.9,9.7,22.299999999999997,37.099999999999994,27997.0,46.9
06037113101,Census Tract 1131.01; Los Angeles County; California,0.0,5.5,6.4,11.0,44.3,47722.0,37.5
06037113102,Census Tract 1131.02; Los Angeles County; California,0.0,4.2,3.5,7.1000000000000005,39.8,84526.0,29.8
06037113211,Census Tract 1132.11; Los Angeles County; California,0.0,2.5,5.3,3.6,41.9,53213.0,33.4
06037113212,Census Tract 1132.12; Los Angeles County; California,4.1,0.0,10.9,14.399999999999999,38.5,40681.0,39.8
06037113213,Census Tract 1132.13; Los Angeles County; California,3.3,3.8,3.1,5.1,36.900000000000006,50005.0,32.8
06037113231,Census Tract 1132.31; Los Angeles County; California,1.2,3.1,7.7,7.0,38.900000000000006,65567.0,34.1
06037113232,Census Tract 1132.32; Los Angeles County; California,0.5,6.8,6.7,6.4,35.1,54539.0,34.1
06037113234,Census Tract 1132.34; Los Angeles County; California,9.7,13.2,11.0,28.4,39.900000000000006,28387.0,49.8
06037113235,Census Tract 1132.35; Los Angeles County; California,4.0,0.0,9.4,4.8999999999999995,34.400000000000006,58799.0,34.3
06037113237,Census Tract 1132.37; Los Angeles County; California,3.3,5.5,2.8,6.300000000000001,40.599999999999994,58780.0,33.5
06037113238,Census Tract 1132.38; Los Angeles County; California,5.9,11.1,4.0,24.200000000000003,34.4,31103.0,40.6
06037113239,Census Tract 1132.39; Los Angeles County; California,5.1,20.0,10.5,17.0,34.9,24706.0,46.6
06037113301,Census Tract 1133.01; Los Angeles County; California,1.5,5.5,9.6,8.8,33.599999999999994,56542.0,35.7
06037113303,Census Tract 1133.03; Los Angeles County; California,1.8,6.2,5.0,5.8,40.8,46972.0,35.6
06037113322,Census Tract 1133.22; Los Angeles County; California,2.5,0.8,5.5,10.6,40.5,47820.0,35.3
06037113323,Census Tract 1133.23; Los Angeles County; California,4.7,4.1,5.6,9.399999999999999,30.200000000000003,41748.0,34.4
06037113324,Census Tract 1133.24; Los Angeles County; California,30.9,0.0,3.2,15.3,42.300000000000004,34393.0,47.3
06037113423,Census Tract 1134.23; Los Angeles County; California,6.4,13.6,10.2,16.2,38.0,34835.0,44.9
06037113424,Census Tract 1134.24; Los Angeles County; California,2.3,7.1,5.2,13.8,39.2,40136.0,37.7
06037113425,Census Tract 1134.25; Los Angeles County; California,10.4,5.7,6.9,26.6,29.8,21550.0,42.6
