Community Area,Year,Month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
42,2025,7,0.0,33.0,81.0,13.0,2.0,39.0,3.0,10.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,7.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,4.0,2.0,0.0,78.0,21.0
42,2025,8,1.0,39.0,62.0,11.0,0.0,32.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,62.0,6.0
42,2025,9,0.0,35.0,50.0,9.0,0.0,38.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,10.0,1.0,2.0,59.0,7.0
42,2025,10,1.0,39.0,82.0,16.0,0.0,61.0,1.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,7.0,0.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,11.0,1.0,1.0,97.0,8.0
42,2025,11,0.0,41.0,61.0,14.0,0.0,45.0,1.0,10.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,4.0,3.0,0.0,57.0,11.0
42,2025,12,0.0,25.0,47.0,16.0,0.0,33.0,1.0,7.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,4.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,1.0,54.0,7.0
42,2026,1,0.0,36.0,62.0,11.0,0.0,44.0,2.0,7.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,1.0,5.0,3.0,0.0,61.0,7.0
42,2026,2,1.0,33.0,74.0,9.0,0.0,48.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,13.0,2.0,0.0,63.0,10.0
42,2026,3,0.0,26.0,65.0,16.0,0.0,49.0,0.0,8.0,16.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,33.0,8.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,3.0,6.0,2.0,5.0,77.0,12.0
42,2026,4,0.0,2.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0
