Community Area,Year,Month,AGGRAVATED ASSAULT FIREARM,AGGRAVATED ASSAULT NO FIREARM,ALL OTHER OFFENSES,ARSON,BURGLARY NON-RESIDENTIAL,BURGLARY RESIDENTIAL,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,EMBEZZLEMENT,FORGERY AND COUNTERFEITING,FRAUD,GAMBLING VIOLATIONS,HOMICIDE - CRIMINAL,HOMICIDE - JUSTIFIABLE,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,NARCOTIC / DRUG LAW VIOLATIONS,OFFENSES AGAINST FAMILY AND CHILDREN,OTHER ASSAULTS,OTHER SEX OFFENSES (NOT COMMERCIALIZED),PROSTITUTION AND COMMERCIALIZED VICE,PUBLIC DRUNKENNESS,RAPE,RECEIVING STOLEN PROPERTY,ROBBERY FIREARM,ROBBERY NO FIREARM,THEFT FROM VEHICLE,THEFTS,VAGRANCY/LOITERING,VANDALISM/CRIMINAL MISCHIEF,WEAPON VIOLATIONS
03,2024,12,7.0,13.0,35.0,3.0,11.0,8.0,0.0,6.0,1.0,1.0,24.0,0.0,2.0,0.0,0.0,57.0,0.0,0.0,83.0,3.0,0.0,1.0,0.0,6.0,4.0,10.0,50.0,184.0,0.0,36.0,1.0
03,2025,1,6.0,19.0,29.0,3.0,6.0,10.0,3.0,4.0,2.0,1.0,29.0,0.0,0.0,0.0,0.0,64.0,2.0,0.0,77.0,1.0,0.0,1.0,0.0,4.0,1.0,9.0,45.0,190.0,0.0,33.0,8.0
03,2025,2,3.0,13.0,23.0,0.0,8.0,8.0,2.0,3.0,4.0,1.0,40.0,0.0,2.0,0.0,0.0,43.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,29.0,162.0,0.0,29.0,3.0
03,2025,3,0.0,8.0,32.0,1.0,8.0,4.0,0.0,1.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,37.0,2.0,0.0,73.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,35.0,159.0,0.0,27.0,3.0
03,2025,4,6.0,13.0,27.0,4.0,9.0,5.0,3.0,3.0,1.0,1.0,30.0,0.0,1.0,0.0,0.0,46.0,2.0,0.0,71.0,3.0,0.0,1.0,1.0,3.0,3.0,6.0,46.0,186.0,0.0,39.0,1.0
03,2025,5,3.0,17.0,24.0,1.0,6.0,3.0,2.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,61.0,1.0,1.0,72.0,2.0,0.0,2.0,0.0,3.0,1.0,9.0,59.0,182.0,0.0,42.0,3.0
03,2025,6,9.0,16.0,30.0,0.0,3.0,7.0,2.0,2.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,65.0,2.0,0.0,77.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,54.0,173.0,0.0,36.0,1.0
03,2025,7,1.0,14.0,35.0,1.0,5.0,9.0,3.0,5.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,83.0,3.0,0.0,84.0,3.0,0.0,6.0,1.0,7.0,6.0,11.0,82.0,199.0,0.0,33.0,1.0
03,2025,8,1.0,22.0,26.0,1.0,6.0,7.0,0.0,4.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,71.0,7.0,0.0,78.0,6.0,0.0,1.0,3.0,2.0,3.0,15.0,70.0,180.0,0.0,49.0,4.0
03,2025,9,2.0,13.0,25.0,1.0,3.0,7.0,1.0,1.0,2.0,0.0,20.0,1.0,1.0,0.0,0.0,72.0,4.0,0.0,88.0,1.0,0.0,1.0,4.0,2.0,5.0,13.0,113.0,188.0,0.0,38.0,1.0
