GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
36005018302,Census Tract 183.02; Bronx County; New York,5.1,11.4,11.4,22.4,34.8,27992.0,45.9
36005018400,Census Tract 184; Bronx County; New York,8.0,6.7,3.8,21.0,37.6,35788.0,41.7
36005018501,Census Tract 185.01; Bronx County; New York,8.9,17.7,6.7,31.8,33.7,20359.0,50.0
36005018502,Census Tract 185.02; Bronx County; New York,5.6,45.6,30.1,24.6,33.599999999999994,14025.0,67.0
36005018900,Census Tract 189; Bronx County; New York,15.3,27.0,6.1,29.0,37.5,19525.0,56.0
36005019300,Census Tract 193; Bronx County; New York,6.4,19.7,5.8,25.9,38.8,20064.0,48.5
36005019400,Census Tract 194; Bronx County; New York,8.5,17.2,5.6,14.5,40.5,33041.0,45.1
36005019500,Census Tract 195; Bronx County; New York,7.5,41.6,22.7,27.1,36.1,16435.0,64.1
36005019700,Census Tract 197; Bronx County; New York,16.2,40.7,11.9,37.4,35.4,21687.0,64.9
36005019900,Census Tract 199; Bronx County; New York,9.4,35.4,6.6,26.5,38.4,23915.0,54.5
36005020000,Census Tract 200; Bronx County; New York,9.9,20.8,6.1,24.2,39.4,24282.0,50.2
36005020100,Census Tract 201; Bronx County; New York,11.5,24.4,24.3,36.099999999999994,34.2,21647.0,64.0
36005020200,Census Tract 202; Bronx County; New York,7.1,22.7,4.4,31.8,41.3,25176.0,50.7
36005020400,Census Tract 204; Bronx County; New York,6.7,15.5,7.4,25.0,37.2,25711.0,47.2
36005020501,Census Tract 205.01; Bronx County; New York,3.8,59.5,18.1,40.2,48.8,13542.0,71.6
36005020502,Census Tract 205.02; Bronx County; New York,4.7,25.5,9.7,32.6,30.1,24142.0,50.3
36005020601,Census Tract 206.01; Bronx County; New York,6.7,29.5,5.2,21.5,35.2,23618.0,48.5
36005020900,Census Tract 209; Bronx County; New York,6.7,16.4,7.1,18.1,35.3,22360.0,45.2
36005021001,Census Tract 210.01; Bronx County; New York,6.9,27.2,19.6,11.8,37.7,27997.0,53.5
36005021002,Census Tract 210.02; Bronx County; New York,17.3,17.5,11.6,10.0,40.3,33155.0,52.0
36005021100,Census Tract 211; Bronx County; New York,6.2,22.0,15.0,32.900000000000006,40.6,21964.0,56.2
36005021200,Census Tract 212; Bronx County; New York,5.6,15.6,6.6,17.0,37.6,31766.0,43.6
36005021301,Census Tract 213.01; Bronx County; New York,13.4,23.0,20.4,31.4,31.6,17508.0,60.9
36005021302,Census Tract 213.02; Bronx County; New York,8.3,45.4,20.5,35.3,47.900000000000006,17012.0,69.7
36005021501,Census Tract 215.01; Bronx County; New York,10.2,33.3,8.2,24.6,36.1,21027.0,54.4
36005021502,Census Tract 215.02; Bronx County; New York,15.1,39.8,19.2,31.200000000000003,40.4,13562.0,68.4
36005021601,Census Tract 216.01; Bronx County; New York,7.5,17.1,8.5,17.9,36.9,23420.0,46.9
36005021602,Census Tract 216.02; Bronx County; New York,8.3,16.0,8.1,13.5,34.3,28591.0,44.5
36005021700,Census Tract 217; Bronx County; New York,12.1,24.4,7.6,31.1,30.200000000000003,22901.0,52.7
36005021800,Census Tract 218; Bronx County; New York,3.1,27.7,6.1,28.700000000000003,29.9,27621.0,46.6
36005021900,Census Tract 219; Bronx County; New York,6.0,19.7,6.3,15.4,34.5,23207.0,44.3
36005022000,Census Tract 220; Bronx County; New York,11.8,45.0,14.6,40.3,42.5,21200.0,67.8
36005022101,Census Tract 221.01; Bronx County; New York,22.8,30.7,15.4,33.9,40.2,16915.0,68.5
36005022102,Census Tract 221.02; Bronx County; New York,21.4,28.4,13.0,35.4,40.1,15629.0,66.3
36005022200,Census Tract 222; Bronx County; New York,14.6,25.0,8.0,25.6,40.3,20487.0,55.9
36005022300,Census Tract 223; Bronx County; New York,14.1,35.7,8.5,31.2,35.1,17163.0,59.2
36005022401,Census Tract 224.01; Bronx County; New York,5.6,7.0,12.2,14.399999999999999,36.9,31298.0,43.5
36005022403,Census Tract 224.03; Bronx County; New York,8.8,9.4,14.3,17.1,31.3,34567.0,46.0
36005022404,Census Tract 224.04; Bronx County; New York,8.5,7.2,6.0,23.700000000000003,33.3,31211.0,43.3
36005022500,Census Tract 225; Bronx County; New York,16.3,17.3,23.9,33.2,34.300000000000004,20307.0,63.9
36005022701,Census Tract 227.01; Bronx County; New York,9.3,32.2,21.5,32.0,36.8,19305.0,63.2
36005022702,Census Tract 227.02; Bronx County; New York,8.9,41.5,5.2,36.8,32.7,18783.0,56.8
36005022703,Census Tract 227.03; Bronx County; New York,17.7,32.3,9.9,25.2,45.5,23948.0,61.6
36005022800,Census Tract 228; Bronx County; New York,3.7,7.6,2.3,9.6,32.0,41873.0,33.7
36005022901,Census Tract 229.01; Bronx County; New York,7.4,23.5,7.1,24.200000000000003,27.4,22130.0,47.0
36005022902,Census Tract 229.02; Bronx County; New York,9.4,33.7,10.4,24.299999999999997,36.4,23877.0,55.0
36005023000,Census Tract 230; Bronx County; New York,14.5,27.1,7.4,17.2,39.9,24408.0,53.4
36005023100,Census Tract 231; Bronx County; New York,17.8,13.9,15.0,37.900000000000006,39.900000000000006,15861.0,62.1
36005023200,Census Tract 232; Bronx County; New York,1.3,29.2,12.8,26.200000000000003,37.7,24997.0,51.4
36005023301,Census Tract 233.01; Bronx County; New York,5.8,28.5,20.8,33.5,31.4,22982.0,58.5
36005023302,Census Tract 233.02; Bronx County; New York,12.6,27.8,12.8,29.9,34.3,18197.0,57.9
36005023501,Census Tract 235.01; Bronx County; New York,6.4,25.9,9.3,36.099999999999994,32.7,19278.0,53.2
36005023502,Census Tract 235.02; Bronx County; New York,7.2,22.4,14.8,31.2,39.5,23919.0,55.8
36005023600,Census Tract 236; Bronx County; New York,5.2,10.0,3.7,29.0,41.599999999999994,26194.0,45.1
36005023702,Census Tract 237.02; Bronx County; New York,18.0,34.9,8.1,31.2,37.3,19984.0,61.2
36005023703,Census Tract 237.03; Bronx County; New York,14.3,51.4,20.2,35.0,39.2,12307.0,72.4
36005023704,Census Tract 237.04; Bronx County; New York,8.7,45.2,16.8,24.4,31.6,18807.0,60.4
36005023800,Census Tract 238; Bronx County; New York,5.6,13.4,10.1,20.3,29.0,29733.0,43.7
36005023900,Census Tract 239; Bronx County; New York,26.3,25.7,12.3,28.900000000000002,38.800000000000004,14627.0,65.9
36005024000,Census Tract 240; Bronx County; New York,0.0,9.9,20.6,12.899999999999999,32.1,29524.0,44.2
36005024100,Census Tract 241; Bronx County; New York,2.0,10.7,13.2,28.9,34.3,18054.0,47.4
36005024300,Census Tract 243; Bronx County; New York,15.7,23.7,18.8,27.6,31.3,18068.0,60.4
36005024400,Census Tract 244; Bronx County; New York,1.7,8.2,11.1,11.5,30.8,34373.0,38.4
36005024501,Census Tract 245.01; Bronx County; New York,10.0,22.4,7.7,37.2,39.2,19171.0,55.4
36005024502,Census Tract 245.02; Bronx County; New York,11.6,18.9,8.8,37.9,32.7,24598.0,53.9
36005024600,Census Tract 246; Bronx County; New York,3.5,8.8,7.2,15.9,38.3,34714.0,40.6
36005024700,Census Tract 247; Bronx County; New York,9.2,10.7,11.3,34.1,30.9,28153.0,49.9
36005024800,Census Tract 248; Bronx County; New York,6.3,9.0,3.2,19.8,37.400000000000006,31657.0,41.1
36005024900,Census Tract 249; Bronx County; New York,,,,0.0,0.0,,0.0
36005025000,Census Tract 250; Bronx County; New York,1.4,2.9,2.9,13.7,40.7,36796.0,35.4
36005025100,Census Tract 251; Bronx County; New York,8.3,25.3,7.2,28.5,31.799999999999997,23364.0,50.3
36005025200,Census Tract 252; Bronx County; New York,7.2,5.3,13.0,11.4,32.9,33186.0,42.3
36005025300,Census Tract 253; Bronx County; New York,9.0,18.2,16.9,32.6,30.2,20137.0,55.0
36005025400,Census Tract 254; Bronx County; New York,1.3,10.9,5.7,22.0,41.1,39452.0,41.1
36005025500,Census Tract 255; Bronx County; New York,9.2,25.6,11.4,37.5,41.8,15885.0,58.9
36005025600,Census Tract 256; Bronx County; New York,2.7,3.3,7.8,25.3,35.1,28068.0,41.2
36005025700,Census Tract 257; Bronx County; New York,8.5,13.3,9.7,18.2,22.2,29118.0,42.7
36005026100,Census Tract 261; Bronx County; New York,0.9,0.0,6.7,3.0,33.3,47902.0,30.6
36005026300,Census Tract 263; Bronx County; New York,19.0,27.1,13.4,30.5,44.8,18993.0,64.5
36005026400,Census Tract 264; Bronx County; New York,2.0,10.3,5.8,15.200000000000001,34.4,37832.0,37.9
36005026500,Census Tract 265; Bronx County; New York,10.2,19.5,12.4,32.2,37.7,20192.0,55.5
36005026601,Census Tract 266.01; Bronx County; New York,3.5,19.3,8.8,22.400000000000002,40.1,27331.0,47.2
36005026602,Census Tract 266.02; Bronx County; New York,2.7,20.4,12.6,21.1,40.3,26964.0,48.8
36005026701,Census Tract 267.01; Bronx County; New York,11.9,19.8,6.8,17.200000000000003,43.2,23615.0,50.6
36005026702,Census Tract 267.02; Bronx County; New York,13.8,20.5,9.0,29.3,36.6,26365.0,54.3
36005026900,Census Tract 269; Bronx County; New York,3.9,25.8,12.2,29.8,28.6,23833.0,50.2
36005027300,Census Tract 273; Bronx County; New York,9.9,15.2,7.8,28.799999999999997,39.2,27193.0,50.5
36005027401,Census Tract 274.01; Bronx County; New York,0.0,3.0,0.9,13.1,39.7,46817.0,32.2
36005027402,Census Tract 274.02; Bronx County; New York,0.5,3.4,4.8,11.9,43.9,46149.0,35.6
36005027600,Census Tract 276; Bronx County; New York,0.0,47.1,0.0,22.6,43.900000000000006,8572.0,50.7
36005027700,Census Tract 277; Bronx County; New York,12.3,26.4,10.8,27.900000000000002,30.9,23239.0,54.4
36005027900,Census Tract 279; Bronx County; New York,8.5,10.9,15.5,17.9,38.9,32523.0,49.3
36005028100,Census Tract 281; Bronx County; New York,1.3,2.2,5.2,14.0,45.8,47452.0,36.9
36005028300,Census Tract 283; Bronx County; New York,30.9,47.5,16.3,18.5,35.8,17288.0,72.6
36005028400,Census Tract 284; Bronx County; New York,,,0.0,35.7,37.3,7684.0,49.0
36005028500,Census Tract 285; Bronx County; New York,1.9,6.9,6.7,7.0,30.4,38437.0,34.1
36005028600,Census Tract 286; Bronx County; New York,1.3,3.6,8.3,7.1,50.7,48231.0,38.4
36005028700,Census Tract 287; Bronx County; New York,6.9,4.8,13.3,18.4,32.7,33590.0,44.0
36005028800,Census Tract 288; Bronx County; New York,2.6,13.5,6.2,15.4,35.0,38925.0,39.4
36005028900,Census Tract 289; Bronx County; New York,7.5,26.7,5.6,28.7,41.5,29902.0,51.5
36005029301,Census Tract 293.01; Bronx County; New York,0.3,1.0,4.9,6.2,57.0,91964.0,32.9
36005029302,Census Tract 293.02; Bronx County; New York,1.6,12.5,6.5,4.1,49.900000000000006,79591.0,36.2
36005029500,Census Tract 295; Bronx County; New York,0.2,8.1,1.5,15.8,36.3,55957.0,33.0
36005029600,Census Tract 296; Bronx County; New York,4.3,3.7,18.2,17.0,30.400000000000002,37378.0,43.6
36005029700,Census Tract 297; Bronx County; New York,2.0,0.0,8.0,4.4,55.6,60328.0,37.2
36005030000,Census Tract 300; Bronx County; New York,9.1,11.9,13.5,11.0,29.7,41853.0,43.7
36005030100,Census Tract 301; Bronx County; New York,1.2,1.4,4.1,14.899999999999999,56.9,55935.0,38.5
36005030201,Census Tract 302.01; Bronx County; New York,3.2,5.3,3.6,21.1,38.2,37449.0,38.6
36005030202,Census Tract 302.02; Bronx County; New York,5.6,5.3,3.9,12.399999999999999,44.2,31142.0,40.0
36005030701,Census Tract 307.01; Bronx County; New York,0.0,0.4,7.9,4.3,55.8,66918.0,35.6
36005030900,Census Tract 309; Bronx County; New York,2.0,2.7,1.1,6.1,65.8,75545.0,36.0
36005031000,Census Tract 310; Bronx County; New York,0.9,3.1,6.9,16.200000000000003,42.5,39446.0,38.3
36005031200,Census Tract 312; Bronx County; New York,3.4,2.6,4.9,15.7,46.7,39440.0,39.4
36005031400,Census Tract 314; Bronx County; New York,6.0,2.8,8.4,12.0,38.3,34469.0,40.0
36005031600,Census Tract 316; Bronx County; New York,0.0,12.0,13.3,20.4,34.8,40083.0,42.6
36005031800,Census Tract 318; Bronx County; New York,5.2,4.4,9.2,13.2,39.5,38813.0,40.7
36005031900,Census Tract 319; Bronx County; New York,,,22.0,16.7,6.8,5033.0,47.3
36005032300,Census Tract 323; Bronx County; New York,0.0,0.0,2.2,4.300000000000001,56.5,73158.0,32.0
36005032400,Census Tract 324; Bronx County; New York,11.8,30.6,10.3,37.8,30.8,21941.0,57.7
36005032600,Census Tract 326; Bronx County; New York,3.7,8.4,6.4,19.7,32.8,40006.0,39.2
36005032800,Census Tract 328; Bronx County; New York,9.8,16.2,15.4,29.0,40.0,22692.0,55.6
36005033000,Census Tract 330; Bronx County; New York,5.2,20.5,16.8,24.900000000000002,40.5,22573.0,54.0
36005033201,Census Tract 332.01; Bronx County; New York,3.8,11.7,14.9,16.7,39.1,30172.0,46.6
36005033202,Census Tract 332.02; Bronx County; New York,6.6,6.8,1.4,25.700000000000003,48.7,25940.0,44.8
36005033400,Census Tract 334; Bronx County; New York,0.0,0.0,41.2,0.0,15.8,12124.0,46.5
36005033500,Census Tract 335; Bronx County; New York,5.0,13.8,11.4,8.6,35.0,58485.0,40.1
36005033601,Census Tract 336.01; Bronx County; New York,8.9,29.4,13.6,26.8,31.9,19585.0,55.1
36005033602,Census Tract 336.02; Bronx County; New York,0.0,6.0,6.0,19.0,39.5,32540.0,38.6
36005033700,Census Tract 337; Bronx County; New York,1.6,3.3,5.0,10.0,49.3,72227.0,35.0
36005033801,Census Tract 338.01; Bronx County; New York,4.5,11.0,5.0,16.7,36.5,26864.0,41.0
36005033802,Census Tract 338.02; Bronx County; New York,17.2,18.5,14.5,28.8,30.299999999999997,24365.0,56.9
36005034000,Census Tract 340; Bronx County; New York,10.3,12.3,5.9,22.5,40.4,26592.0,47.6
36005034200,Census Tract 342; Bronx County; New York,0.0,13.9,1.0,21.1,34.8,37261.0,36.9
36005034300,Census Tract 343; Bronx County; New York,0.0,3.0,10.1,9.8,41.1,38638.0,37.5
36005034400,Census Tract 344; Bronx County; New York,4.6,26.1,5.5,12.2,41.0,30572.0,45.0
36005034500,Census Tract 345; Bronx County; New York,6.4,5.3,5.7,12.0,39.0,50807.0,38.2
36005034800,Census Tract 348; Bronx County; New York,6.5,17.7,5.5,14.3,40.4,24481.0,44.8
36005035000,Census Tract 350; Bronx County; New York,4.3,3.1,1.5,10.6,37.8,36898.0,34.6
